,Dimension_1,Dimension_2,year,make,model,body,transmission,state,condition,odometer,color,interior,mmr,sellingprice,income,using_time,region
616,1.2317726725429052,-0.7893961778155342,2008,chevrolet,Equinox,suv,automatic,oh,2.8,82436.0,gray,gray,8125,8200,64520,7,midwest
617,1.4690782075251043,1.524728765798493,2013,kia,Sorento,suv,automatic,la,2.3,53895.0,gray,gray,13950,12900,55590,2,southeast
618,-1.3513326476938057,0.5605196280612004,2014,hyundai,Elantra,sedan,automatic,il,4.0,16486.0,gray,gray,12400,12100,73130,1,midwest
619,2.506726038086881,-4.9467418274913415,2000,infiniti,G20,sedan,automatic,ca,3.0,236263.0,white,tan,275,600,77030,14,pacific
620,-0.326701377620909,1.9636152404212925,2014,chrysler,Town and Country,van,automatic,fl,4.3,46106.0,silver,black,17100,17000,59100,1,southeast
621,3.81580408351382,-2.0016072381564993,2004,pontiac,Grand Prix,sedan,automatic,fl,1.0,129062.0,white,gray,2350,550,59100,11,southeast
622,-0.5802189952794468,1.0029644034723155,2011,mercedes-benz,M-Class,suv,automatic,wi,3.0,57310.0,white,gray,24100,23750,67090,4,midwest
623,2.506795023997371,-0.4492631889246704,2007,bmw,Z4,convertible,automatic,tn,1.9,86899.0,gray,black,10550,8700,57290,8,southeast
624,0.839811700076197,1.0196799082592258,2013,toyota,Corolla,sedan,automatic,fl,3.1,51793.0,red,beige,10250,9300,59100,2,southeast
625,0.8612428239378817,0.17723781443446948,2012,chevrolet,Cruze,sedan,automatic,mi,2.3,41591.0,white,gray,9275,7700,65610,3,midwest
626,3.5935227162113534,-3.025695477256808,2002,nissan,Sentra,sedan,automatic,nc,1.9,179097.0,silver,gray,925,900,61490,13,southeast
627,3.538312536905847,-4.973434007363689,1998,subaru,Legacy,wagon,automatic,pa,1.0,179478.0,black,black,1175,700,73100,17,northeast
628,2.86104803138528,-0.21243075035670045,2007,pontiac,G6,sedan,automatic,la,4.1,129032.0,silver,black,3575,3500,55590,8,southeast
629,-1.5587105872787257,-0.06767440526373313,2013,chrysler,200,sedan,automatic,ca,4.4,38881.0,white,black,10650,11000,77030,2,pacific
630,3.0604144351277847,-2.3447348902664062,2004,mercedes-benz,C-Class,sedan,automatic,nc,2.9,179763.0,white,gray,2225,2600,61490,11,southeast
631,0.848056675661879,2.220416545103666,2012,toyota,Highlander,suv,automatic,oh,2.3,64490.0,white,black,25500,24100,64520,2,midwest
632,-0.5174805767670025,1.6656838931525018,2013,kia,Sorento,suv,automatic,ga,4.2,46396.0,gray,gray,17950,20000,61450,2,southeast
633,-2.329734115396621,-0.11457896094365229,2014,ford,Fusion,sedan,automatic,ma,4.3,20942.0,blue,tan,13700,12300,82150,1,northeast
634,2.189797417540775,-0.9154641290316404,2007,nissan,Pathfinder,suv,automatic,fl,2.6,120065.0,black,tan,6400,5200,59100,7,southeast
635,0.9526620926489286,0.4794909002849119,2011,ford,Edge,suv,automatic,fl,3.6,89152.0,burgundy,gray,11200,10500,59100,4,southeast
636,-2.1484254492836623,-2.170394772822995,2013,honda,Civic,sedan,automatic,ca,1.0,15382.0,white,beige,13750,8000,77030,2,pacific
637,-3.058407609573508,1.7585375326013493,2013,bmw,5 Series,sedan,automatic,ca,4.7,30615.0,black,tan,32900,31000,77030,2,pacific
638,-0.0018130753946920413,2.4329081364750405,2013,toyota,Tacoma,cab,automatic,sc,3.6,46353.0,silver,gray,23500,23400,56120,2,southeast
639,1.8801057098254899,0.45704757691341447,2012,dodge,Grand Caravan,van,automatic,ga,1.9,90534.0,gray,black,9850,8000,61450,3,southeast
640,-3.3796475379286393,0.8470678837558107,2010,cadillac,Escalade ESV,suv,automatic,ca,4.2,57739.0,black,black,33000,35000,77030,5,pacific
641,1.1533182671342406,-2.252131964235109,2008,infiniti,M35,sedan,automatic,pa,2.6,168703.0,gray,gray,7475,7500,73100,7,northeast
642,-1.5684515765904197,-0.7388056405031771,2011,subaru,Impreza,hatchback,automatic,nj,3.8,37472.0,blue,beige,12700,14000,82750,4,northeast
643,-2.4347297379330404,0.02149888062216248,2012,honda,CR-V,suv,automatic,nj,4.7,35643.0,blue,beige,18000,19000,82750,3,northeast
644,-1.365671386999089,-0.29945333417282777,2012,nissan,Sentra,sedan,automatic,ca,4.4,40094.0,white,black,9500,10750,77030,3,pacific
